ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
3581,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,2,159,25
3582,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,3,159,25
3583,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,3,159,25
3584,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,3,159,25
3585,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,2,159,25
3586,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,3,159,25
3587,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,2,159,25
3588,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,2,159,25
3589,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,GET,http://localhost:8001/WEB-INF/web.xml,404,Not Found,1,147,13
3590,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,GET,http://localhost:8001/WEB-INF/applicationContext.xml,404,Not Found,2,147,13
3591,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,5,159,25
3592,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,3,159,25
3593,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,2,159,25
3594,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,3,159,25
3595,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,2,159,25
3596,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,2,159,25
3597,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,3,159,25
3598,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,POST,http://localhost:8001/register,500,Internal Server Error,2,159,25
3599,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,GET,http://localhost:8001/?-s,200,OK,1,141,3341
3600,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,GET,http://localhost:8001/?-s,200,OK,3,141,3341
3601,Mon Feb 02 09:40:02 EET 2026,Mon Feb 02 09:40:02 EET 2026,GET,http://localhost:8001/register?-s,200,OK,2,141,3026
3602,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,GET,http://localhost:8001/static/tailwind.css?-s,200,OK,7,143,3818330
3603,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,1,147,13
3604,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,2,147,13
3605,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/register?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,500,Internal Server Error,4,159,25
3606,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,4,147,13
3607,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/reservation?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,3,147,13
3608,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/login?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,5,147,13
3609,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/register?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,500,Internal Server Error,8,159,25
3610,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/login?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,5,147,13
3611,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/reservation?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,6,147,13
3612,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,7,147,13
3613,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/static?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,200,OK,6,98,0
3614,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/register?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,500,Internal Server Error,9,159,25
3615,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/sitemap.xml?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,6,147,13
3616,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/robots.txt?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,3,147,13
3617,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/resources?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,3,147,13
3618,Mon Feb 02 09:40:03 EET 2026,Mon Feb 02 09:40:03 EET 2026,POST,http://localhost:8001/static?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,200,OK,2,98,0
